 CodUsina  ,  Usina         ,  Sistema      ,CAG
267,  ESTREITO TOC  ,  4 - Norte    ,NAO
268,  S. QUEBRADA   ,  4 - Norte    ,NAO
269,  COUTO MAGALH  ,  1 - Sudeste  ,NAO
272,  CURUA-UNA     ,  4 - Norte    ,NAO
273,  SANTA ISABEL  ,  4 - Norte    ,NAO
275,  TUCURUI       ,  4 - Norte    ,SIM
276,  RONDON II     ,  1 - Sudeste  ,NAO
277,  BALBINA       ,  4 - Norte    ,NAO
278,  MANSO         ,  1 - Sudeste  ,NAO
279,  SAMUEL        ,  1 - Sudeste  ,NAO
280,  COARACY NUNE  ,  4 - Norte    ,NAO
281,  PONTE PEDRA   ,  1 - Sudeste  ,NAO
282,  OLHO DAGUA    ,  1 - Sudeste  ,NAO
283,  STA CLARA MG  ,  1 - Sudeste  ,NAO
284,  FERREIRA GOM  ,  4 - Norte    ,NAO
285,  JIRAU         ,  1 - Sudeste  ,NAO
286,  STO ANT JARI  ,  4 - Norte    ,NAO
287,  STO ANTONIO   ,  1 - Sudeste  ,NAO
288,  BELO MONTE    ,  4 - Norte    ,NAO
289,  ITUMIRIM      ,  1 - Sudeste  ,NAO
290,  ESPORA        ,  1 - Sudeste  ,NAO
291,  FICT.SERRA M  ,  4 - Norte    ,NAO
292,  FICT.CANA BR  ,  4 - Norte    ,NAO
294,  FICT.QUEIMAD  ,  3 - Nordeste ,NAO
295,  FICT.TRES MA  ,  3 - Nordeste ,NAO
298,  FICT.IRAPE    ,  3 - Nordeste ,NAO
299,  FICT.COUTO M  ,  4 - Norte    ,NAO
301,  FICT.SAO JER  ,  1 - Sudeste  ,NAO
302,  FICT.LAJEADO  ,  4 - Norte    ,NAO
303,  FICT.PEIXE A  ,  4 - Norte    ,NAO
304,  ITIQUIRA I    ,  1 - Sudeste  ,NAO
305,  ITIQUIRA II   ,  1 - Sudeste  ,NAO
306,  FICT.SAO SAL  ,  4 - Norte    ,NAO
307,  FICT.MURTA    ,  3 - Nordeste ,NAO
308,  FICT.RETIRO   ,  3 - Nordeste ,NAO
310,  DARDANELOS    ,  1 - Sudeste  ,NAO
311,  CACU          ,  1 - Sudeste  ,NAO
312,  B. COQUEIROS  ,  1 - Sudeste  ,NAO
313,  ITAGUACU      ,  1 - Sudeste  ,NAO
314,  PIMENTAL      ,  4 - Norte    ,NAO
315,  FOZ R. CLARO  ,  1 - Sudeste  ,NAO
318,  FICT.STA BRA  ,  1 - Sudeste  ,NAO
319,  FICT.MAUA     ,  1 - Sudeste  ,NAO
