 ICUT ,TP.ENTID,ID.ENT,   NomeEntid   ,TP.COEF,ILAG ,IPAT ,     Val.Coef      ,      Unid      
28, USIH   ,99, 14 DE JULHO   , VARM  ,0,1,-19.52, (1000$/hm3)    
28, USIH   ,103, FOZ CHAPECO   , VARM  ,0,1,-28.447, (1000$/hm3)    
28, USIH   ,169, SOBRADINHO    , VARM  ,0,1,-141.151, (1000$/hm3)    
28, USIH   ,172, ITAPARICA     , VARM  ,0,1,-121.157, (1000$/hm3)    
28, USIH   ,173, MOXOTO        , VARM  ,0,1,-94.626, (1000$/hm3)    
28, USIH   ,174, P.AFONSO 123  , VARM  ,0,1,-83.377, (1000$/hm3)    
28, USIH   ,175, P.AFONSO 4    , VARM  ,0,1,-94.626, (1000$/hm3)    
28, USIH   ,178, XINGO         , VARM  ,0,1,-31.809, (1000$/hm3)    
28, USIH   ,190, B. ESPERANCA  , VARM  ,0,1,0.584, (1000$/hm3)    
28, USIH   ,189, P. CAVALO     , VARM  ,0,1,-49.509, (1000$/hm3)    
28, USIH   ,275, TUCURUI       , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,272, CURUA-UNA     , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,279, SAMUEL        , VARM  ,0,1,1.427, (1000$/hm3)    
28, USIH   ,280, COARACY NUNE  , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,204, CACH.CALDEIR  , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,127, SOBRAGI       , VARM  ,0,1,-52.452, (1000$/hm3)    
28, USIH   ,126, PICADA        , VARM  ,0,1,-116.195, (1000$/hm3)    
28, USIH   ,283, STA CLARA MG  , VARM  ,0,1,-27.312, (1000$/hm3)    
28, USIH   ,261, LAJEADO       , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,48, PIRAJU        , VARM  ,0,1,-189.344, (1000$/hm3)    
28, USIH   ,249, OURINHOS      , VARM  ,0,1,-124.34, (1000$/hm3)    
28, USIH   ,241, SLT VERDINHO  , VARM  ,0,1,-87.523, (1000$/hm3)    
28, USIH   ,304, ITIQUIRA I    , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,305, ITIQUIRA II   , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,196, GUAPORE       , VARM  ,0,1,-81.966, (1000$/hm3)    
28, USIH   ,195, JAURU         , VARM  ,0,1,-53.653, (1000$/hm3)    
28, USIH   ,95, QUEBRA QUEIX  , VARM  ,0,1,-64.722, (1000$/hm3)    
28, USIH   ,203, CORUMBA III   , VARM  ,0,1,-221.911, (1000$/hm3)    
28, USIH   ,154, ITAPEBI       , VARM  ,0,1,-43.399, (1000$/hm3)    
28, USIH   ,310, DARDANELOS    , VARM  ,0,1,0.468, (1000$/hm3)    
28, USIH   ,29, CORUMBA IV    , VARM  ,0,1,-258.711, (1000$/hm3)    
28, USIH   ,94, MONJOLINHO    , VARM  ,0,1,-61.678, (1000$/hm3)    
28, USIH   ,215, SALTO PILAO   , VARM  ,0,1,-103.985, (1000$/hm3)    
28, USIH   ,155, RETIRO BAIXO  , VARM  ,0,1,-186.175, (1000$/hm3)    
28, USIH   ,311, CACU          , VARM  ,0,1,-87.255, (1000$/hm3)    
